,Title,Author,Rating Count,Review Count,Rating Value,N pag,1st Pub,series,Genres,Awards,Link,minmax_norm_ratings,mean_norm_ratings
41,Watership Down,Richard  Adams,440939,14015,4.06,478.0,1972.0,1,"['Classics', 'Fiction', 'Fantasy']","['Mythopoeic Fantasy Award Nominee (1975)', ""Guardian Children's Fiction Prize (1973)"", 'Audie Award Nominee for Best Male Narrator (2020)', 'Boston Globe-Horn Book Award (1975)', 'California Young Readers Medal for Young Adult (1977)', 'Carnegie Medal (1972)']",https://www.goodreads.com/book/show/18144590-the-alchemist,6.376,1.002
42,In Cold Blood,Truman Capote,543817,17019,4.07,343.0,1965.0,0,"['Nonfiction', 'Classics', 'Crime']",['Edgar Award for Best Fact Crime (1966)'],https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,6.436,1.062
43,Anne of Green Gables,L.M. Montgomery,749630,23913,4.26,320.0,1908.0,1,"['Classics', 'Fiction', 'Young Adult']",,https://www.goodreads.com/book/show/168642.In_Cold_Blood,7.584,2.21
44,Green Eggs and Ham,Dr. Seuss,634506,9576,4.29,64.0,1960.0,0,"['Childrens', 'Childrens', 'Picture Books']",,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,7.765,2.391
45,Siddhartha,Hermann Hesse,598205,18080,4.03,152.0,1922.0,0,"['Classics', 'Fiction', 'Philosophy']",,https://www.goodreads.com/book/show/52036.Siddhartha,6.195,0.82
46,The Color Purple,Alice Walker,532894,15838,4.23,304.0,1982.0,1,"['Classics', 'Fiction', 'Historical']","['Pulitzer Prize for Fiction (1983)', 'National Book Award for Fiction (Hardcover) (1983)', 'National Book Critics Circle Award Nominee for Fiction (1982)', 'Townsend Prize for Fiction (1984)']",https://www.goodreads.com/book/show/662.Atlas_Shrugged,7.403,2.028
47,Atlas Shrugged,Ayn Rand,358033,17589,3.69,1168.0,1957.0,0,"['Classics', 'Philosophy', 'Literature']","['Prometheus Hall of Fame Award (1983)', 'National Book Award Finalist for Fiction (1958)']",https://www.goodreads.com/book/show/52892857-the-color-purple,4.141,-1.233
48,Love in the Time of Cholera,Gabriel García Márquez,421464,20880,3.92,348.0,1985.0,0,"['Fiction', 'Classics', 'Historical']","['Audie Award', 'Los Angeles Times Book Prize for Fiction (1988)']",https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera,5.53,0.156
49,The Poisonwood Bible,Barbara Kingsolver,665838,23487,4.07,546.0,1998.0,0,"['Fiction', 'Historical', 'Historical Fiction']","['Pulitzer Prize Nominee for Fiction (1999)', 'Orange Prize Nominee for Fiction Shortlist (1999)', 'Book Sense Book of the Year Award for Adult (2000)', 'PEN/Faulkner Award for Fiction Nominee (1999)', 'Independent Publisher Book Award (IPPY) for Audio Fiction - Unabridged (1999)', 'Exclusive Books Boeke Prize (2000)', 'Puddly Award for Novel (2001)', 'International Dublin Literary Award Nominee (2000)']",https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,6.436,1.062
50,The Complete Sherlock Holmes,Arthur Conan Doyle,178621,3739,4.47,1796.0,1927.0,1,"['Classics', 'Mystery', 'Fiction']",['Audie Award for Classic (2014)'],https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes,8.852,3.478
51,The Metamorphosis,Franz Kafka,667862,18611,3.83,201.0,1915.0,0,"['Classics', 'Fiction', 'Fantasy']",,https://www.goodreads.com/book/show/485894.The_Metamorphosis,4.987,-0.388
52,The Secret Garden,Frances Hodgson Burnett,916435,19426,4.13,331.0,1910.0,0,"['Classics', 'Fiction', 'Childrens']",['Lewis Carroll Shelf Award (1958)'],https://www.goodreads.com/book/show/2998.The_Secret_Garden,6.799,1.424
53,The Unbearable Lightness of Being,Milan Kundera,351337,15885,4.1,320.0,1984.0,0,"['Fiction', 'Classics', 'Philosophy']",['Los Angeles Times Book Prize for Fiction (1984)'],https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being,6.617,1.243
54,The Stand,Stephen King,630199,21426,4.34,1172.0,1978.0,0,"['Horror', 'Fiction', 'Fantasy']","['Locus Award Nominee for Best SF Novel (1979)', 'World Fantasy Award Nominee for Best Novel (1979)', 'Gandalf Award Nominee (1979)', 'Balrog Award Nominee for Best Novel (1979) (1980)']",https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany,8.067,2.693
55,A Prayer for Owen Meany,John Irving,288639,13969,4.23,637.0,1989.0,0,"['Fiction', 'Classics', 'Contemporary']",,https://www.goodreads.com/book/show/149267.The_Stand,7.403,2.028
56,The Name of the Rose,Umberto Eco,307281,9171,4.13,536.0,1980.0,0,"['Fiction', 'Classics', 'Literature']","['إمبيرتو', 'Premio Strega (1981)', 'Los Angeles Times Book Prize Nominee for Fiction (1983)', 'Edgar Award Nominee for Best Novel (1984)', 'PEN Translation Prize for William Weaver (1984)', 'Premio Anghiari (1981)', ""Premio Il Libro dell'anno (1981)"", 'Prix Médicis Etranger (1982)', 'このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (1991)']",https://www.goodreads.com/book/show/17899948-rebecca,6.799,1.424
57,Rebecca,Daphne du Maurier,470995,25518,4.23,449.0,1938.0,0,"['Classics', 'Fiction', 'Mystery']","['National Book Award for Fiction (1938)', 'Anthony Award for Best Novel of the Century (2000)']",https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose,7.403,2.028
58,Where the Wild Things Are,Maurice Sendak,836471,12028,4.22,37.0,1963.0,0,"['Childrens', 'Childrens', 'Picture Books']","['Caldecott Medal (1964)', 'Lewis Carroll Shelf Award', 'Indies Choice Book Award for Picture Book Hall of Fame (2009)']",https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,7.342,1.968
59,The Lorax,Dr. Seuss,291411,4184,4.33,72.0,1971.0,0,"['Childrens', 'Childrens', 'Picture Books']","['California Young Readers Medal Nominee for Primary (1976)', 'Green Prize for Sustainable Literature']",https://www.goodreads.com/book/show/7784.The_Lorax,8.007,2.632
60,Dune,Frank Herbert,806510,25727,4.23,661.0,1965.0,1,"['Science Fiction', 'Fiction', 'Fantasy']","['Hugo Award for Best Novel (1966)', 'Nebula Award for Best Novel (1965)', 'Seiun Award 星雲賞 for Best Foreign Novel (1974)']",https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory,7.403,2.028
61,Charlie and the Chocolate Factory,Roald Dahl,683272,12299,4.14,176.0,1964.0,1,"['Childrens', 'Fantasy', 'Fiction']","['Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1992)', ""North Dakota Children's Choice Award (1985)""]",https://www.goodreads.com/book/show/44767458-dune,6.859,1.485
62,The Pillars of the Earth,Ken Follett,667886,32071,4.32,976.0,1989.0,1,"['Historical', 'Historical Fiction', 'Fiction']",,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,7.946,2.572
63,The Master and Margarita,Mikhail Bulgakov,251104,12033,4.29,372.0,1967.0,0,"['Classics', 'Fiction', 'Cultural']",,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita,7.765,2.391
64,The Outsiders,S.E. Hinton,964552,33929,4.1,192.0,1967.0,0,"['Classics', 'Young Adult', 'Fiction']","['Books I Loved Best Yearly (BILBY) Awards for Secondary  (1991)', 'Margaret A. Edwards Award (1988)']",https://www.goodreads.com/book/show/231804.The_Outsiders,6.617,1.243
65,On the Road,Jack Kerouac,355362,15219,3.62,307.0,1957.0,1,"['Classics', 'Fiction', 'Travel']",['Grammy Award Nominee for Best Spoken Word Album (2001)'],https://www.goodreads.com/book/show/70401.On_the_Road,3.718,-1.656
66,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1475256,30971,4.22,193.0,1979.0,1,"['Science Fiction', 'Fiction', 'Humor']",,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,7.342,1.968
67,The Sun Also Rises,Ernest Hemingway,370447,13097,3.82,189.0,1926.0,0,"['Classics', 'Fiction', 'Literature']",,https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises,4.926,-0.448
68,Ulysses,James Joyce,112988,6917,3.73,783.0,1922.0,0,"['Classics', 'Fiction', 'Literature']",['Национална награда „Христо Г. Данов“ for Преводна художествена литература (2004)'],https://www.goodreads.com/book/show/338798.Ulysses,4.383,-0.992
69,All Quiet on the Western Front,Erich Maria Remarque,361048,10708,3.99,296.0,1929.0,1,"['Classics', 'Fiction', 'Historical']",['Luisterboek Award Nominee (2015)'],https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front,5.953,0.579
70,The Good Earth,Pearl S. Buck,225577,10022,3.99,418.0,1931.0,1,"['Classics', 'Fiction', 'Historical']","['Pulitzer Prize for Novel (1932)', 'William Dean Howells Medal (1935)']",https://www.goodreads.com/book/show/6149.Beloved,5.953,0.579
71,Beloved,Toni Morrison,333208,13114,3.87,324.0,1987.0,1,"['Fiction', 'Classics', 'Historical']","['Pulitzer Prize for Fiction (1988)', 'American Book Award (1988)', 'Anisfield-Wolf Book Award (1988)', 'National Book Critics Circle Award Nominee for Fiction (1987)', 'Frederic G. Melcher Book Award (1988)', 'National Book Award Finalist for Fiction (1987)']",https://www.goodreads.com/book/show/1078.The_Good_Earth,5.228,-0.146
