,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
214,2000,David Sedaris,"['Lambda Literary Award for Humor (2001)', 'Puddly Award for Humor (2001)', 'Thurber Prize for American Humor (2001)']","['Nonfiction', 'Humor', 'Autobiography']",https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day,272,627999,3.99,17542,Me Talk Pretty One Day,0
215,1996,Jon Krakauer,['Washington State Book Award (1997)'],"['Nonfiction', 'Biography', 'Adventure']",https://www.goodreads.com/book/show/1845.Into_the_Wild,207,899182,3.99,22071,Into the Wild,0
216,,Dr. Seuss,,"['Childrens', 'Childrens', 'Picture Books']",https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_,44,338003,4.35,5378,"Oh, the Places You'll Go!",0
217,1943,Hermann Hesse,"['Премія імені Максима Рильського (1992)', 'Retro Hugo Award Nominee for Best Novel (2019)']","['Fiction', 'Classics', 'Philosophy']",https://www.goodreads.com/book/show/16634.The_Glass_Bead_Game,578,32288,4.12,1553,The Glass Bead Game,0
218,1938,Jean-Paul Sartre,['Grand Prix des meilleurs romans du demi-siècle Nominee (1950)'],"['Philosophy', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/12395.Journey_to_the_End_of_the_Night,178,89228,3.92,3254,Nausea,0
219,1932,Louis-Ferdinand Céline,"['Prix Renaudot (1932)', 'Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ Nominee for Γαλλόφωνη Λογοτεχνία (2008)']","['Fiction', 'Classics', 'Cultural']",https://www.goodreads.com/book/show/298275.Nausea,453,32636,4.22,1949,Journey to the End of the Night,1
220,1969,Eric Carle,['California Young Readers Medal Nominee for Primary (1976)'],"['Childrens', 'Picture Books', 'Childrens']",https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar,26,406888,4.29,8131,The Very Hungry Caterpillar,0
221,1993,Jeffrey Eugenides,,"['Fiction', 'Contemporary', 'Classics']",https://www.goodreads.com/book/show/10956.The_Virgin_Suicides,250,233434,3.83,9703,The Virgin Suicides,0
222,1995,Bernhard Schlink,"['Los Angeles Times Book Prize Nominee for Fiction (1997)', 'Exclusive Books Boeke Prize (1999)', 'Prix des libraires du Québec for Lauréats hors Québec (1997)', 'Prix Laure Bataillon (1997)', 'Premio Grinzane Cavour Nominee for Narrativa Straniera (1997)', 'Ελληνο-γερμανικό Βραβείο Μετάφρασης for Ιάκωβος Κοπερτί (2000)', 'International Dublin Literary Award Nominee for Shortlist (1999)']","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/28676.American_Psycho,216,173473,3.76,10353,The Reader,0
223,,Bret Easton Ellis,,"['Fiction', 'Horror', 'Thriller']",https://www.goodreads.com/book/show/101299.The_Reader,399,247890,3.82,10514,American Psycho,0
